제목,저자,유형,내용
폴 B. 프레시아도 지음;문경자 옮김,문학동네,종이책,
호프 자런 지음;허진 옮김,김영사,종이책,
마이클 이스터 지음;김원진 옮김,수오서재,종이책,
"김난도,전미영,최지혜,권정윤,한다혜,이혜원,이수진,서유현,전다현,이준영,이향은,김나은 지음",미래의창,종이책,
우치다테 마키코 지음;이지수 옮김,서교책방,종이책,
"배성호,주수원 글",철수와미애,종이책,
료 지음,열림원,종이책,
멜 로빈스;소이어 로빈스 지음;윤효원 옮김,비즈니스북스,종이책,
이승훈 지음,21세기북스,종이책,
이꽃님 지음,우리학교,종이책,
히가시노 게이고 지음;김선영 옮김,북다,종이책,
네버레스홀리다 글;얼레지 그림,도트북,종이책,
앵거스 하일랜드;켄드라 윌슨 지음;안진이 옮김,푸른숲,종이책,
최재천 지음,샘터,종이책,
추동훈 지음,매일경제신문사,종이책,
조성관 지음;김은지 일러스트,자유의길,종이책,
김옥숙 지음,도토리숲,종이책,
홀리 진 벅 지음;최영석 옮김,앨피,종이책,
"김사라,김소영,김진성,김한나,김사무엘 지음;김사라,박선하 일러스트",RHK(알에이치코리아),종이책,
청예 지음,창비,종이책,
장금 지음,북피움,종이책,
근하 지음,여섯번째봄,종이책,
최재희 지음;임은영 일러스트,북트리거,종이책,
신보라 지음,＆(앤드),종이책,
김지현 지음,다산책방,종이책,
김나영 지음,곰곰,종이책,
김경태 지음,곰곰,종이책,
이원율 지음,빅피시,종이책,
박재용 지음;란탄 그림,북트리거,종이책,
김주완 지음,내일을여는책,종이책,
김선미 지음,다산책방,종이책,
오하림 글,문학동네,종이책,
김혜정 지음,미래인,종이책,
김성신 지음,유유,종이책,
하서찬 글;박선엽 그림,웅진주니어,종이책,
류충민 지음,플루토,종이책,
후안 호세 미야스;후안 루이스 아르수아가 지음;남진희 옮김,틈새책방,종이책,
권희린 지음,생각학교,종이책,
이병준 지음,피톤치드,종이책,
콱쌤 지음,푸른들녘,종이책,
문부일 글;신병근 그림,마음이음,종이책,
장수철 지음,바틀비,종이책,
전자윤 글,우주나무,종이책,
하시시박 지음,마음산책,종이책,
이경혜 지음,바람의아이들,종이책,
박성환 지음,팬덤북스,종이책,
움베르토 갈림베르티;루카 모리 지음;김현주 옮김,풀빛,종이책,
김충원 글·그림,진선books,종이책,
이영경 글,보리,종이책,
김아영 지음,서해문집,종이책,
김동영 지음;이혜지 일러스트,인북,종이책,
"김소형,김현,민구,박소란,박준,서윤후,성다영,신미나,양안다,유계영,유병록,유희경,임경섭,임지은,전욱진,조온윤,최지은,최현우,한여진,황인찬 지음",창비교육,종이책,
"백재은,장일범 지음",그래도봄,종이책,
표명희 지음,창비,종이책,
최상희 지음,창비,종이책,
"김금희,장은진,김종광,서이제,임선우,황정은,천선란 지음;김선산,김형태,성보혜,이혜연 엮음",창비교육,종이책,
이원재 글,낮은산,종이책,
이민항 지음,다른,종이책,
최이랑 지음,미래인,종이책,
박건웅 지음,우리나비,종이책,
김금희 지음,한겨레출판,종이책,
이케가야 유지 지음;김현정 옮김,포레스트북스,종이책,
김아미 지음,창비,종이책,
다니엘 나예리 글;다니엘 미야레스 그림;원지인 옮김,보물창고,종이책,
서동찬 지음,자음과모음,종이책,
매슈 T. 휴버 지음;심태은 옮김,두번째테제,종이책,
이우진 글;김소희 그림,나무를심는사람들,종이책,
강언덕 지음,구름의시간,종이책,
송주영 지음,인물과사상사,종이책,
"조경아,정명섭,천지윤,최하나 지음",봄마중,종이책,
홍창성 지음,바이블랭크,종이책,
조너선 케네디 지음;조현욱 옮김,아카넷,종이책,
구자행 지음,양철북,종이책,
"남화정 지음;이지유,남화정 일러스트",clove(클로브),종이책,
지명근 지음,학교도서관저널,종이책,
수잔 와이즈 바우어 지음;김승진 옮김,윌북,종이책,
권미경 지음,쉬는시간,종이책,
알렉산더 하겔뤼켄 지음;이기숙 옮김,서해문집,종이책,
"한수옥,권선영 지음",뜨인돌,종이책,
"강소희,김주희,김지현,김희연,박수빈,오유경,윤선영,이두리,이은무,임병주,정화정,최보미 지음",길벗,종이책,
권재원 지음,북트리거,종이책,
이동희 지음,초봄책방,종이책,
문재옥 지음,풀빛,종이책,
정정혜 글·그림,자음과모음,종이책,
구은서 지음,에코리브르,종이책,
비둘기덮밥 지음,한빛비즈,종이책,
이와오 페이 지음;김윤수 옮김,라임,종이책,
김준태 지음,믹스커피,종이책,
임윤전 지음,J＆jj,종이책,
위소 글·그림,동치미,종이책,
잭 챌리너 지음;곽영직 옮김,지브레인,종이책,
"김필수 외 10명 지음,원호섭,김태희,오혜진,김상현,한세희,박진영,김청한,윤신영,김범용,이충환",동아엠앤비,종이책,
신나미 글,철수와영희,종이책,
"강국진,김승훈,한종수 지음",부키,종이책,
"강혜원,계환,강현수 지음;주노 그림",푸른숲주니어,종이책,
신정아 지음,아날로그,종이책,
박재용 지음,이상북스,종이책,
베르나르 베르베르 지음;김희진 옮김,열린책들,종이책,
베르나르 베르베르 지음;김희진 옮김,열린책들,종이책,
아오사키 유고 지음;김은모 옮김,Readbie(리드비),종이책,
성해나 지음,위즈덤하우스,종이책,
레베카 야로스 지음;이수현 옮김,북폴리오,종이책,
레베카 야로스 지음;이수현 옮김,북폴리오,종이책,
김효인 지음,안전가옥,종이책,
"김승태,김영인 지음;강민경 본문 일러스트",위북(WeBook),종이책,
최서영 지음,봄봄,종이책,
